time,hourly_demand,temperature_2m,relative_humidity_2m,wind_speed_10m,apparent_temperature
2000-01-01 00:00:00,34673.89999998,23.1,96,6.4,27.4
2000-01-01 01:00:00,33502.99999998,23.0,97,6.2,27.2
2000-01-01 02:00:00,32287.59999998,22.8,97,3.9,27.3
2000-01-01 03:00:00,31059.39999999,21.9,97,1.3,26.2
2000-01-01 04:00:00,30272.7,21.7,98,3.5,25.7
2000-01-01 05:00:00,29575.099999970003,21.6,98,5.8,25.3
2000-01-01 06:00:00,27731.59999997,21.7,98,6.1,25.3
2000-01-01 07:00:00,25917.89999998,21.9,97,4.6,25.8
2000-01-01 08:00:00,26285.29999999,22.2,96,4.1,26.3
2000-01-01 09:00:00,27146.79999999,22.4,96,6.6,26.1
2000-01-01 10:00:00,27964.89999998,22.8,94,5.6,26.7
2000-01-01 11:00:00,28215.7,23.4,95,5.6,27.8
2000-01-01 12:00:00,27909.79999999,24.1,95,5.9,28.8
2000-01-01 13:00:00,27329.59999999,25.4,93,6.9,30.6
2000-01-01 14:00:00,27082.69999998,25.9,90,8.2,30.9
2000-01-01 15:00:00,27192.79999998,25.5,82,11.6,28.8
2000-01-01 16:00:00,27546.2,24.5,87,11.5,27.8
2000-01-01 17:00:00,28397.099999970003,24.5,87,8.9,28.1
2000-01-01 18:00:00,30499.69999999,24.1,88,8.0,27.9
2000-01-01 19:00:00,34615.399999990004,23.6,90,6.0,27.6
2000-01-01 20:00:00,39175.89999999,23.2,91,6.2,27.1
2000-01-01 21:00:00,39852.1,22.9,92,6.6,26.6
2000-01-01 22:00:00,38256.0,22.8,92,6.6,26.4
2000-01-01 23:00:00,35185.49999999999,22.5,93,7.1,25.9
2000-01-02 00:00:00,32128.79999998,22.3,93,8.1,25.6
2000-01-02 01:00:00,30342.199999979995,22.2,93,8.1,25.5
2000-01-02 02:00:00,29336.69999999,22.1,94,8.4,25.3
2000-01-02 03:00:00,28769.6,22.1,96,8.3,25.4
2000-01-02 04:00:00,28426.2,22.1,96,8.3,25.4
2000-01-02 05:00:00,28593.89999999,22.0,96,8.7,25.3
2000-01-02 06:00:00,27753.59999999,22.0,96,9.0,25.2
2000-01-02 07:00:00,26624.09999998,22.5,94,10.5,25.6
2000-01-02 08:00:00,27507.69999999,22.9,93,12.2,25.8
2000-01-02 09:00:00,28648.09999999,24.0,91,13.0,27.2
2000-01-02 10:00:00,29458.99999999,24.3,91,12.9,27.7
2000-01-02 11:00:00,29863.899999970003,25.1,85,11.6,28.5
2000-01-02 12:00:00,29887.29999998,25.0,85,15.2,27.9
2000-01-02 13:00:00,29701.09999999,24.1,92,14.8,27.3
2000-01-02 14:00:00,29516.19999998,23.3,93,12.5,26.4
2000-01-02 15:00:00,29558.9,23.3,92,12.0,26.3
2000-01-02 16:00:00,30081.09999999,23.7,88,10.9,26.8
2000-01-02 17:00:00,31060.6,23.0,89,9.2,26.0
2000-01-02 18:00:00,32964.59999999,22.8,90,12.2,25.4
2000-01-02 19:00:00,36758.600000000006,22.5,92,11.6,25.2
2000-01-02 20:00:00,40961.4,22.1,94,10.5,25.0
2000-01-02 21:00:00,41665.79999999,22.0,95,10.0,25.0
2000-01-02 22:00:00,39301.49999999,21.9,95,9.4,24.8
2000-01-02 23:00:00,35969.59999999,21.9,94,8.6,24.9
2000-01-03 00:00:00,32601.89999998,21.9,94,6.8,25.2
2000-01-03 01:00:00,30667.09999998,21.9,94,5.5,25.4
2000-01-03 02:00:00,29916.99999997,21.7,94,6.9,24.9
2000-01-03 03:00:00,29415.2,21.4,97,11.8,24.0
2000-01-03 04:00:00,29527.99999998,21.3,97,15.3,23.3
2000-01-03 05:00:00,30582.69999998,21.0,96,16.8,22.5
2000-01-03 06:00:00,31901.19999997,20.8,95,16.8,22.2
2000-01-03 07:00:00,33749.49999997,21.0,95,15.3,22.6
2000-01-03 08:00:00,36734.99999996,21.3,94,15.1,23.1
2000-01-03 09:00:00,38828.79999999,21.7,94,12.6,24.1
2000-01-03 10:00:00,39784.2,22.0,94,13.1,24.4
2000-01-03 11:00:00,39874.8,22.2,93,15.5,24.3
2000-01-03 12:00:00,38948.49999998,22.1,94,15.1,24.3
2000-01-03 13:00:00,39919.8,22.1,94,12.7,24.6
2000-01-03 14:00:00,40798.5,22.3,93,12.1,24.9
2000-01-03 15:00:00,40864.39999999,21.9,95,12.2,24.5
2000-01-03 16:00:00,40898.49999999,21.6,94,10.3,24.2
2000-01-03 17:00:00,40331.69999998999,21.5,95,8.3,24.5
2000-01-03 18:00:00,39831.4,21.4,95,9.2,24.3
2000-01-03 19:00:00,41604.79999999,21.4,96,8.4,24.4
2000-01-03 20:00:00,45137.89999999,21.4,96,9.5,24.3
2000-01-03 21:00:00,45116.0,21.6,96,10.3,24.4
2000-01-03 22:00:00,42882.59999999,21.6,95,10.7,24.3
2000-01-03 23:00:00,39282.2,21.5,95,10.6,24.2
2000-01-04 00:00:00,35746.700000000004,21.5,94,10.0,24.2
2000-01-04 01:00:00,33413.999999980006,21.5,94,10.2,24.2
2000-01-04 02:00:00,32374.39999999,21.5,94,9.0,24.3
2000-01-04 03:00:00,31868.9,21.5,94,7.9,24.4
2000-01-04 04:00:00,31994.39999999,21.2,95,7.2,24.2
2000-01-04 05:00:00,32878.4,21.1,95,7.4,24.0
2000-01-04 06:00:00,33897.09999999,21.1,95,8.3,23.9
2000-01-04 07:00:00,35682.4,22.5,92,7.6,25.7
2000-01-04 08:00:00,38847.3,23.9,85,10.5,26.8
2000-01-04 09:00:00,40634.4,24.8,84,8.0,28.4
2000-01-04 10:00:00,41312.49999999,25.8,82,8.3,29.7
2000-01-04 11:00:00,41303.6,26.5,77,10.5,29.9
2000-01-04 12:00:00,40560.6,27.2,73,11.0,30.4
2000-01-04 13:00:00,41703.69999999,27.8,68,9.9,31.2
2000-01-04 14:00:00,42269.79999999,27.5,68,12.2,30.1
2000-01-04 15:00:00,42088.7,26.3,71,11.6,28.8
2000-01-04 16:00:00,42409.19999999,25.9,74,7.2,29.1
2000-01-04 17:00:00,41533.7,25.7,75,4.2,29.5
2000-01-04 18:00:00,40633.49999999,25.3,79,4.2,29.2
2000-01-04 19:00:00,42507.39999999,24.4,83,4.0,28.3
2000-01-04 20:00:00,45771.299999990006,23.7,86,5.2,27.5
2000-01-04 21:00:00,45986.49999999,23.2,89,6.2,26.7
2000-01-04 22:00:00,43934.69999999,22.8,90,6.7,26.2
2000-01-04 23:00:00,40246.1,22.5,91,7.7,25.7
2000-01-05 00:00:00,36190.79999999,22.2,92,8.8,25.1
2000-01-05 01:00:00,33887.49999999,22.1,92,9.3,25.0
2000-01-05 02:00:00,32899.2,22.1,92,8.2,25.1
2000-01-05 03:00:00,32637.49999999,21.9,93,7.1,25.1
2000-01-05 04:00:00,32739.99999998,21.6,94,6.2,24.8
2000-01-05 05:00:00,33526.200000000004,21.3,95,5.4,24.6
2000-01-05 06:00:00,34477.69999997,21.4,95,6.5,24.5
2000-01-05 07:00:00,36374.39999999,22.0,93,6.1,25.4
2000-01-05 08:00:00,39552.99999999,22.8,89,8.8,25.9
2000-01-05 09:00:00,41504.39999999,23.8,88,9.4,27.2
2000-01-05 10:00:00,42333.89999998,25.1,85,8.0,29.0
2000-01-05 11:00:00,42068.89999998,25.6,83,6.9,29.8
2000-01-05 12:00:00,41240.49999998,26.4,78,7.7,30.3
2000-01-05 13:00:00,42392.59999999,26.8,75,6.6,30.7
2000-01-05 14:00:00,43423.89999999,27.4,72,5.0,31.8
2000-01-05 15:00:00,43561.7,28.6,64,1.8,32.7
2000-01-05 16:00:00,43506.69999998999,27.1,71,5.0,30.9
2000-01-05 17:00:00,42673.69999998999,25.4,80,4.4,29.6
2000-01-05 18:00:00,41159.39999999,24.5,84,4.0,28.7
2000-01-05 19:00:00,42147.69999999,24.0,87,4.8,28.1
2000-01-05 20:00:00,46256.19999999,23.5,90,4.0,27.6
2000-01-05 21:00:00,46905.79999999,23.1,92,3.7,27.2
2000-01-05 22:00:00,45601.69999998,22.7,94,3.6,26.9
2000-01-05 23:00:00,42021.69999999,22.2,96,3.3,26.3
2000-01-06 00:00:00,37911.100000000006,22.0,96,4.4,26.0
2000-01-06 01:00:00,35441.39999998,21.8,96,4.3,25.7
2000-01-06 02:00:00,35075.3,21.6,97,4.1,25.4
2000-01-06 03:00:00,34426.09999999,21.5,97,3.7,25.3
2000-01-06 04:00:00,33740.19999999,21.2,97,5.0,24.7
2000-01-06 05:00:00,34626.59999999,21.1,97,5.2,24.5
2000-01-06 06:00:00,35536.5,21.2,97,7.4,24.4
2000-01-06 07:00:00,37336.19999999,22.2,95,6.4,25.8
